Duration_Days,Budget_Utilization,Scope_Changes,Team_Experience,Methodology,Resource_Count,Risk_Level
82,72,7,7.1,Waterfall,7,Low
201,65,5,8.4,Waterfall,7,Low
247,106,4,5.8,Agile,3,High
189,88,8,8.3,Agile,19,Low
227,102,0,5.5,Hybrid,16,Medium
276,91,4,1.6,Waterfall,14,Medium
353,107,5,4.6,Agile,12,Medium
232,88,4,5.5,Waterfall,13,Low
213,63,5,7.5,Hybrid,4,Medium
152,54,5,2.0,Agile,9,Low
284,84,6,2.3,Agile,17,High
323,67,3,3.4,Agile,13,Low
309,58,7,3.4,Hybrid,14,Medium
354,107,6,7.6,Waterfall,8,High
127,66,8,3.3,Agile,15,Low
227,56,6,6.7,Hybrid,18,Medium
269,95,2,5.4,Waterfall,12,Low
173,62,2,6.2,Hybrid,10,Low
126,89,7,8.5,Waterfall,3,Medium
230,91,4,4.6,Hybrid,10,Low
153,58,3,7.9,Waterfall,8,Low
216,99,7,4.8,Agile,7,Medium
355,76,5,4.2,Waterfall,17,Low
288,115,1,9.6,Hybrid,17,Medium
177,54,3,2.7,Hybrid,4,Medium
281,78,3,1.8,Waterfall,3,High
176,86,5,7.9,Agile,13,Low
177,87,5,1.6,Agile,12,Low
228,57,0,8.5,Waterfall,19,Low
337,114,7,4.9,Waterfall,10,High
157,66,5,9.2,Hybrid,17,Low
68,94,2,7.5,Agile,10,Low
158,53,8,6.5,Waterfall,19,Low
296,85,1,9.5,Agile,14,Low
180,119,7,4.6,Waterfall,10,Medium
327,80,9,9.6,Waterfall,16,Medium
128,68,2,2.2,Agile,6,Low
292,110,4,5.4,Waterfall,3,High
281,103,5,3.4,Waterfall,3,High
173,88,9,5.9,Hybrid,18,Low
141,68,5,2.5,Waterfall,16,Low
89,88,3,8.6,Waterfall,18,Low
31,116,2,8.6,Waterfall,7,Low
333,94,3,9.6,Hybrid,11,Low
283,62,0,2.4,Agile,4,High
169,107,3,6.6,Hybrid,8,Low
66,69,0,5.3,Hybrid,11,Low
189,110,0,4.1,Agile,3,Medium
38,88,9,4.2,Hybrid,11,Low
262,50,5,4.7,Agile,18,Low
128,52,4,7.3,Hybrid,15,Low
176,111,3,6.4,Agile,11,Low
333,112,2,5.1,Waterfall,15,Medium
237,74,0,1.7,Hybrid,11,Medium
160,105,5,1.7,Hybrid,13,Medium
181,82,1,1.0,Hybrid,6,Low
83,87,7,9.7,Hybrid,4,Medium
149,55,9,1.0,Waterfall,8,Medium
190,107,4,1.9,Hybrid,16,Medium
145,93,6,3.8,Waterfall,6,Low
104,94,9,8.3,Waterfall,8,Low
142,81,1,9.7,Waterfall,8,Low
133,94,7,8.1,Waterfall,4,Medium
283,110,1,7.2,Agile,15,Medium
256,96,3,5.7,Agile,11,Low
141,70,0,1.8,Hybrid,15,Low
128,85,4,9.6,Agile,13,Low
182,68,8,7.8,Agile,3,Medium
223,69,0,6.8,Hybrid,9,Low
339,106,8,7.8,Hybrid,17,High
192,67,7,7.5,Hybrid,3,Medium
237,96,5,6.7,Agile,14,Low
198,98,6,9.8,Agile,9,Low
190,63,2,9.1,Hybrid,17,Low
97,64,0,6.8,Waterfall,3,Low
318,80,4,7.2,Hybrid,19,Low
306,50,1,1.5,Waterfall,19,Medium
333,103,4,7.0,Waterfall,5,Medium
164,52,7,1.4,Hybrid,14,Medium
224,65,8,6.3,Hybrid,8,Medium
157,106,1,10.0,Hybrid,13,Low
62,61,2,6.0,Agile,5,Low
205,65,2,5.3,Waterfall,10,Low
51,73,0,3.8,Agile,16,Low
267,77,7,2.1,Agile,16,High
187,57,5,7.6,Hybrid,12,Low
67,85,7,2.7,Agile,4,High
259,57,8,2.0,Hybrid,16,High
80,107,4,4.8,Waterfall,11,Low
293,109,2,8.2,Hybrid,5,Medium
312,99,4,7.7,Agile,10,Low
56,77,4,1.5,Agile,18,Low
255,90,4,5.1,Hybrid,4,Medium
306,113,2,5.7,Hybrid,8,Medium
315,76,9,6.8,Agile,14,Medium
126,112,3,6.9,Waterfall,7,Low
313,66,8,4.3,Waterfall,4,High
346,82,9,6.0,Hybrid,18,Medium
333,78,8,5.3,Waterfall,7,Medium
176,62,1,9.0,Agile,17,Low
33,95,7,5.8,Hybrid,14,Low
64,84,7,5.0,Agile,6,Low
221,55,6,4.6,Agile,17,Medium
78,118,7,6.2,Waterfall,13,Medium
46,96,2,8.2,Hybrid,18,Low
